করে , 2094
এই , 1539
না , 1401
এবং , 1320
আর , 1185
তার , 1144
আমার , 1114
থেকে , 1055
আমি , 1050
জন্য , 876
ব্লগার , 838
একটি , 833
যে , 820
করা , 747
কিন্তু , 744
কোন , 728
হয় , 697
সাথে , 690
এক , 689
হয়ে , 687
এর , 662
হবে , 623
নিয়ে , 616
তিনি , 607
সেই , 593
করতে , 592
কিছু , 583
হয় , 568
তাদের , 523
কি , 513
করেন , 494
দিয়ে , 482
সে , 442
ছিল , 439
মনে , 434
আছে , 426
একটা , 402
বা , 401
কথা , 370
তারা , 370
সময় , 367
কাছে , 366
সব , 364
করার , 362
নেই , 350
যায় , 336
হিসেবে , 335
হতে , 335
হয়েছে , 335
পর , 333
আমাকে , 332
তবে , 330
অনেক , 327
শুরু , 324
বলে , 323
তুমি , 317
মধ্যে , 316
খুব , 316
থাকে , 312
আমাদের , 311
যেন , 303
এখন , 298
আমরা , 294
তোমার , 283
মানুষ , 282
তাই , 281
তখন , 279
পারে , 266
যা , 265
দেখা , 263
চলে , 261
এমন , 260
আজ , 257
কাজ , 257
একজন , 257
মাঝে , 253
হলো , 251
যদি , 244
নয় , 237
ঈদ , 234
প্রথম , 234
বাংলাদেশের , 233
দিন , 229
হচ্ছে , 225
রয়েছে , 224
তাঁর , 223
তাকে , 221
কোনো , 219
দিকে , 218
নাম , 217
যখন , 217
এসে , 216
মানুষের , 213
আবার , 213
ব্লগ , 211
সালে , 210
শেষ , 209
নতুন , 209
শুধু , 208
হল , 200
ফিরে , 200
ছিলো , 196
তা , 194
সঙ্গে , 193
মত , 192
পরে , 191
মতো , 191
পর্যন্ত , 187
যেতে , 186
দুই , 185
যাবে , 185
ঠিক , 184
উপর , 183
গেছে , 180
মাধ্যমে , 179
কেউ , 178
ছিলেন , 176
বলা , 174
তাহলে , 174
প্রতি , 172
ধরে , 169
তারপর , 169
বড় , 168
বসে , 165
দিতে , 164
ঈদের , 163
দেয়া , 163
আপনার , 162
আগে , 161
হাতে , 160
সালের , 159
বছর , 157
হয়ে , 156
জীবন , 156
যার , 155
কেন , 154
বিভিন্ন , 154
যারা , 152
পোস্ট , 152
করছে , 151
আপনি , 149
নিজের , 147
এখানে , 147
দেশের , 147
কে , 145
যায় , 143
ভাই , 142
ছোট , 141
করবে , 140
বের , 139
বেশি , 139
ভাবে , 136
আল্লাহ , 133
সেটা , 131
অন্য , 130
হাজার , 130
টাকা , 129
বিশেষ , 129
হন , 129
আঃ , 129
করেছেন , 128
আসে , 127
ভাল , 127
মার্কিন , 127
গান , 126
পুরো , 126
করি , 125
ভেতর , 124
বেশ , 124
করেছে , 124
সিগারেট , 122
থাকবে , 121
দেখে , 121
বাংলা , 120
হলে , 120
সকল , 120
কারণ , 120
চা , 118
কিংবা , 118
পাওয়া , 118
কারণে , 117
মা , 117
রহমান , 117
কিছুই , 117
বলতে , 117
পর্ব , 116
প্রায় , 114
নামে , 114
হাত , 113
ঢাকা , 113
থেকেই , 112
যৌন , 110
দেয় , 110
লেখা , 110
বাংলাদেশ , 110
মাস , 109
আরও , 109
ভালো , 109
সেখানে , 109
একটু , 108
মনের , 108
তোমাকে , 108
দিয়ে , 107
চেষ্টা , 107
সামনে , 107
যাচ্ছে , 107
গিয়ে , 106
নিয়ে , 106
রাতে , 105
নাই , 105
হয়ত , 105
সম্পর্কে , 105
যুদ্ধ , 105
বিশ্বাস , 104
সরকার , 104
এটা , 103
প্রধান , 103
বিরুদ্ধে , 103
এটি , 102
এসব , 102
সামরিক , 102
পূর্ব , 102
ছবি , 102
পানি , 101
সম্ভব , 100
মেয়ে , 100
ভারতের , 98
জীবনের , 97
দুটি , 97
সৃষ্টি , 96
ফলে , 96
থাকা , 96
অথবা , 96
দেন , 96
তৈরি , 96
নিতে , 95
দেখতে , 95
রেখে , 95
গেল , 94
পড়ে , 93
জন , 93
জন্ম , 92
হয়নি , 92
হত্যা , 92
বেঁচে , 92
ব্লগারদের , 91
দেশে , 90
যেখানে , 90
পৃথিবীর , 90
অংশ , 90
সেমাই , 90
করবেন , 89
মূল , 88
মার্চ , 88
রাখা , 88
পথ , 88
এত , 87
রাত , 87
চোখ , 86
সবাই , 86
হয়েছে , 86
ব্লগিং , 85
যাই , 85
ঘরে , 84
ব্যবস্থা , 84
ধরনের , 84
এলো , 84
ধীরে , 84
নিজেকে , 84
রাজনৈতিক , 84
ওই , 84
ভালোবাসা , 83
পথে , 83
ইসলাম , 83
অর্থাৎ , 83
নারী , 83
জানা , 82
সময় , 82
আসলে , 82
থাকতে , 82
সরকারের , 81
ছাড়া , 81
উঠে , 81
যেমন , 81
হতো , 81
এভাবে , 81
কাছ , 81
বলেন , 81
জানতে , 80
ভীষণ , 79
ইন , 78
ধর্ম , 78
বাইরে , 78
নবাব , 78
তিন , 78
খান , 78
নাকি , 78
হওয়ার , 77
খেলা , 77
তুলে , 77
শেখ , 77
পারেন , 77
পাকিস্তানের , 77
the , 76
একদিন , 76
সুযোগ , 76
মন , 76
হলেও , 76
চোখে , 75
একই , 75
যান , 75
পাশে , 75
কখনও , 75
স্বাধীন , 74
পাকিস্তান , 74
মাত্র , 74
ঘোষণা , 74
অন্যতম , 74
মুখে , 74
দেখি , 73
ঘর , 73
তাকিয়ে , 73
শহীদ , 73
নানা , 73
শেষে , 73
হোক , 73
ওপর , 72
লিখেছেনঃ , 72
বাহিনীর , 72
রকম , 71
বাংলার , 71
খুঁজে , 71
সাহেব , 71
ওর , 71
বাবা , 71
প্রিয় , 71
বিষয় , 71
গেলো , 71
মূলত , 70
সমস্যা , 70
সুন্দর , 70
চাই , 70
ক্ষেত্রে , 70
ইতিহাস , 70
দেয়ার , 70
যাওয়া , 70
এসেছে , 70
তেমন , 70
যিনি , 70
বলেই , 70
বছরের , 70
স্ত্রী , 70
মুসলিম , 69
মৃত্যুর , 69
নিজ , 69
আল্লাহর , 69
প্রাচীন , 68
অথচ , 68
নেয়া , 68
মারা , 68
মাথা , 68
প্রকাশ , 68
মাথায় , 68
একমাত্র , 68
করেই , 68
চেয়ে , 68
নেমে , 67
এবার , 67
সাধারণ , 67
পৃথিবীতে , 67
স্যার , 67
মৃত্যু , 67
করছি , 67
দেশ , 67
মামা , 67
সম্পর্ক , 67
ওদের , 66
অর্থ , 66
পরিচিত , 66
আনন্দ , 66
রাখতে , 66
সাঃ , 66
পালন , 65
একবার , 65
বন্ধ , 65
সবার , 65
অন্যান্য , 65
আছি , 65
ভারত , 65
স্বাধীনতা , 65
বেশী , 64
থাকার , 64
ঘটনা , 64
যোগ , 64
গ্রহণ , 64
থাকেন , 64
কিছুটা , 64
ব্লগে , 64
রাতের , 63
এরপর , 63
লাভ , 63
বুঝতে , 63
যদিও , 63
বাসায় , 63
আইন , 63
গল্প , 62
পক্ষে , 62
ছিটমহল , 62
কাজে , 62
ব্লগের , 62
মায়ের , 62
কোথাও , 62
আরো , 62
গোলাপ , 61
সন্তান , 61
শব্দ , 61
বাড়ি , 61
ব্যবহার , 61
সপ্তাহ , 61
১০ , 61
বলল , 61
কষ্ট , 60
এখনও , 60
আছেন , 60
কোটি , 60
এতে , 60
জ্ঞান , 60
কাজের , 60
সবচেয়ে , 59
দেবী , 59
লাগে , 59
চোখের , 59
বার , 59
শক্তি , 59
শিশু , 59
স্বপ্ন , 59
পেয়ে , 59
বাহিনী , 59
কবিতা , 59
হঠাৎ , 59
পারি , 58
একে , 58
রঙের , 58
ভাষা , 58
একা , 58
সংখ্যা , 58
ছেড়ে , 58
জেনারেল , 58
দিয়েছে , 58
নামের , 57
নবী , 57
কত , 57
ছেলে , 57
তাতে , 57
এদের , 57
পুত্র , 57
সকাল , 57
