না , 1452
করে , 1271
ছিল , 766
আর , 737
এই , 655
থেকে , 593
আমি , 574
এর , 568
এক , 552
হয়ে , 551
সে , 522
যে , 518
আমার , 511
হয় , 504
কি , 503
বলল , 444
সঙ্গে , 442
বলে , 437
তার , 420
একটা , 409
এবং , 401
একটি , 385
মনে , 384
হল , 377
কথা , 375
কী , 375
আছে , 371
সেই , 353
যায় , 352
তো , 325
নিয়ে , 313
কে , 312
ওপর , 303
তবে , 299
পর , 295
গেল , 267
নাম , 263
এখন , 262
জন্য , 261
the , 259
তারপর , 251
থাকে , 248
করতে , 248
দিকে , 247
তিনি , 245
কাছে , 237
করা , 236
বড় , 231
ছিলেন , 223
তখন , 213
দিয়ে , 212
সময় , 208
মা , 208
বললেন , 204
যেন , 196
ওর , 193
হবে , 192
আগে , 191
কেন , 190
অনেক , 190
কিন্তু , 188
বছর , 187
আজ , 185
বাবা , 178
করেন , 178
চলে , 176
পড়ে , 169
সব , 169
of , 167
আমরা , 166
নেই , 165
বসে , 164
যা , 163
দেখে , 162
ঠিক , 161
কিছু , 159
মানুষ , 158
তা , 158
অবশ্য , 155
ভালো , 152
গেছে , 151
রঙের , 150
হয়েছিল , 150
প্রথম , 146
মধ্যে , 146
তারা , 145
কেমন , 144
মানে , 144
এসে , 144
তাঁর , 142
তুমি , 141
and , 137
নয় , 136
পরে , 136
একজন , 132
করিয়া , 132
রয়েছে , 131
বাড়ি , 130
ওঠে , 130
তোমার , 128
নাকি , 127
প্রাচীন , 127
আরও , 127
আসে , 126
ধরে , 125
করল , 125
পারে , 125
একবার , 125
আমাদের , 124
উঠে , 123
আবার , 123
ভিতরে , 122
কালো , 122
পাশে , 122
দেবতা , 121
কোনও , 119
ঘরে , 118
উঠল , 118
গভীর , 117
করত , 116
দিন , 115
কারণ , 113
মুখ , 113
হত , 113
নাই , 113
হ্যাঁ , 111
এল , 111
চোখে , 110
দেখা , 110
এমন , 110
ওই , 110
বেশ , 109
নামে , 108
গান , 108
দু , 108
করলেন , 108
করেছিল , 107
হইল , 105
হাত , 105
কবি , 105
করার , 104
তুলে , 104
হয়েছে , 104
মতন , 104
শেষ , 104
যেতে , 103
থেকেই , 102
কাজেই , 101
জানে , 100
তাহার , 99
হাতে , 99
যাবে , 99
বা , 99
এত , 99
ছোট , 98
হলে , 98
আপনি , 97
করেছে , 96
করছে , 96
পথে , 95
মেয়ে , 95
হোক , 95
তাই , 94
দিল , 94
আজও , 94
দাঁড়িয়ে , 93
কত , 93
ওরা , 92
মুখে , 92
সালে , 92
কখনও , 91
জীবন , 90
কারণে , 90
বলেই , 90
প্রায় , 89
মাথা , 89
ফিরে , 89
এসব , 89
আমাকে , 89
ছবি , 89
মায়ের , 89
কোথায় , 89
কিংবা , 88
সম্রাট , 88
গন্ধ , 88
হাঁটতে , 87
বলা , 87
নতুন , 86
এরা , 85
চোখ , 85
বাংলার , 85
করেছিলেন , 85
দেখতে , 84
আলো , 83
রাজা , 83
হইয়া , 83
মানুষের , 83
নদীর , 83
to , 82
দেয় , 80
কেবল , 80
